,s2orc_id,geo_time,minerals
0,378075,-,-
1,423291,-,-
2,609893,-,-
3,818482,-,-
4,1587067,-,-
5,2118101,-,-
6,2216104,-,-
7,2449122,-,-
8,2829093,-,-
9,3128887,-,-
10,3261826,-,-
11,4395526,-,-
12,4430700,-,-
13,4773405,-,-
14,4841270,-,-
15,4984670,-,-
16,5665855,-,-
17,6153701,-,-
18,6384919,-,-
19,7097552,-,-
20,7907279,-,-
21,8249528,-,-
22,8819857,-,-
23,9277299,-,-
24,9307972,-,-
25,9382611,-,-
26,9590844,-,-
27,10052410,-,-
28,10441501,-,-
29,10758220,-,-
30,10785502,-,-
31,12345051,-,-
32,12428390,-,-
33,12594595,-,-
34,13303128,-,-
35,13438555,-,-
36,14173406,-,-
37,14369402,-,-
38,14583627,-,-
39,14676493,-,-
40,14982203,-,-
41,15514304,-,-
42,16773456,-,-
43,16888850,-,-
44,17208459,-,-
45,18110353,-,-
46,19286940,-,-
47,19304315,-,['minerals (1)']
48,19394643,-,-
49,19646536,-,-
50,20023799,-,-
51,20382895,-,-
52,20561520,-,-
53,20646286,-,-
54,20677516,-,-
55,21490211,-,-
56,21653548,-,-
57,22078593,-,-
58,22414992,-,-
59,23169780,-,-
60,23583751,-,-
61,24236881,-,-
62,24389953,-,-
63,24825330,-,-
64,24860900,-,-
65,24969095,-,-
66,25275226,-,['minerals (1)']
67,25312939,-,-
68,25374479,-,-
69,25614269,-,-
70,25787557,-,-
71,26654892,-,-
72,26732615,-,-
73,28363766,-,-
74,31297440,-,-
75,31592443,-,-
76,31721641,-,-
77,33653187,-,-
78,33792127,-,-
79,34107345,-,-
80,34539523,-,-
81,34712783,-,-
82,35116371,-,-
83,38728909,-,-
84,40404753,-,-
85,42717529,-,-
86,45978787,-,-
87,46131370,-,-
88,46855510,-,-
89,49214293,-,-
90,52112134,-,-
91,52131258,-,['pyrite (1)']
92,53183928,-,-
93,91812618,-,-
94,195185567,-,-
95,204849492,-,-
96,205788630,-,-
97,205982792,-,-
98,206164693,-,-
99,206723511,-,-
100,207696802,-,-
101,207963124,-,-
102,208279838,-,-
103,209474384,-,-
104,210195508,-,-
105,210914727,-,-
