,s2orc_id,class,order,family,genus
0,378075,-,-,-,-
1,609893,-,-,-,-
2,2118101,-,-,-,-
3,2216104,-,-,-,-
4,3261826,-,-,-,-
5,4841270,-,-,-,-
6,4984670,-,-,-,-
7,5665855,-,-,-,-
8,6384919,-,-,-,-
9,8819857,-,-,-,-
10,10052410,-,-,-,-
11,10758220,-,-,-,-
12,12345051,-,-,-,-
13,13303128,-,-,-,-
14,14369402,-,-,-,-
15,14676493,-,-,-,-
16,14982203,-,-,-,-
17,15514304,-,-,-,-
18,16888850,-,-,-,-
19,19286940,-,-,-,-
20,19394643,-,-,-,-
21,19646536,-,-,-,-
22,20023799,-,-,-,-
23,20677516,-,-,-,-
24,21490211,-,-,-,-
25,21653548,-,-,-,-
26,22414992,-,-,-,['Methanococcus (1)']
27,23169780,-,-,-,-
28,23583751,-,-,-,-
29,24236881,-,-,-,-
30,24825330,-,-,-,-
31,24860900,-,-,-,-
32,24969095,-,-,-,-
33,25275226,-,-,-,-
34,25312939,-,-,-,-
35,25374479,-,-,-,['Methanoculleus (4)']
36,25787557,-,-,-,-
37,26654892,-,-,-,-
38,26732615,-,-,-,-
39,31297440,-,-,-,-
40,31592443,-,['Methanosarcinales (1)'],-,['Methanococcoides (1)']
41,33653187,-,-,-,-
42,33792127,-,-,-,-
43,34107345,-,-,-,-
44,34539523,-,-,-,-
45,34712783,-,-,-,-
46,35116371,-,-,-,-
47,40404753,-,-,-,-
48,49214293,-,-,-,-
49,52112134,-,-,-,-
50,53183928,-,-,-,-
51,91812618,-,-,-,-
52,195185567,-,-,-,-
53,205788630,-,-,-,-
54,205982792,-,-,-,-
55,207696802,-,-,-,-
56,207963124,-,-,-,-
57,208279838,-,-,-,-
58,209474384,-,-,-,-
59,210195508,-,-,-,-
