"pmid","place","lat","long"
18378658,"Chefren",32.70,28.11
18378658,"Cheops",32.90,28.90
18378658,"Mykerinos",32.80,28.11
22347218,"Isis MV",32.22,31.23
26394007,"Eel River Basin",40.47,-124.35
26394007,"Mound 12",8.55,-84.18
20656812,"Baratang ",10.00,93.00
19622643,"Liyushan",22.68,120.48
27103730,"Tsangyao",21.49,120.33
29928689,"KMW #5",33.30,136.30
21976991,"Guld of Cadiz",36.15,-7.00
17431711,"Kazan",35.25,30.33
19770067,"Haakon Mosby",72.00,14.5
31705207,"Gnilaya Gora",45.25,37.43
29674649,"Venere",19.00,38.00
15322951,"Mariana Forearc",13.47,146.00
31942015,"Tsangyao",21.49,120.33
31772218,"Beaufort Sea",70.47,-135.34
21461912,"Baratang ",12.18,92.81
25807542,"West Nile Delta",31.8,29.8
28944134,"Bledug Kuwu",-7.00,111.00
28944134,"LUSI",-7.00,112.00
30154496,"Haakon Mosby",72.00,14.43
25763031,"Baratang ",12.07,92.47
28676800,"Tangamashima #1",30.52,131.46
28676800,"Tangamashima #2",30.11,131.23
27394559,"Guld of Cadiz",36.15,-7.00
15803662,"NIOZ",35.00,44.30
24116017,"Mound 12",8.55,-84.18
21538105,"AMSMV",35.20,30.16
27881974,"Barbados Accretionary Field",15.00,-58.00
27881974,"Jan Mayen",71.50,-7.5
11195584,"Haakon Mosby",72.00,14.5
22180538,"Liyushan",22.68,120.48
22458514,"Amsterdam MV",35.19,30.16
25384354,"Haakon Mosby",72.00,14.5
22006301,"Issua",60.14,-45.23
26637468,"Haakon Mosby",72.00,14.5
25059877,"Baratang ",12.18,92.81
28396389,"Izu-Bonin-Mariana",14.90,146.00
21335391,"Napoli MV",33.43,24.41
22170423,"Sicily Channel",44.45,45.20
30165492,"Chishan fault",23.97,120.98
22739492,"Yangchou",25.05,121.31
24614846,"Napoli MV",33.43,24.41
17369343,"Haakon Mosby",72.00,14.5
29163423,"Lei-Gong-Hou",22.58,121.21
24722631,"Amon",32.20,31.42
17051217,"Haakon Mosby",72.00,14.5
25393146,"Ginsburg MV",35.50,-7.00
27103730,"Tsangyao",21.49,120.33
22882187,"Mercator",36.15,-7.00
26667806,"Kemp Caldera",-60.00,-30.00
24723919,"Lei-Gong-Hou",22.58,121.21
25908706,"Baratang ",10.00,93.00
25384013,"Haakon Mosby",72.00,14.5
23001649,"Guld of Cadiz",36.15,-7.00
28151382,"Salton Sea",32.21,-115.60
23132300,"Guld of Cadiz",36.15,-7.00
31988316,"Hancauti",48.03,27.19
19783748,"Kumano Knoll",33.37,136.33
25916152,"Baikal, Bolshoy",51.80,104.80
23682146,"Baratang ",10.00,93.00
